Retailer Name,Email,Carve Outs,Location,LP
1922,mike@1922crltd.com,no,ON,
123 Cannabis ,,no,AB,
4 Twenty Cannabis,nar@the4twenty.ca,no,BC,
41 Cannabis Co,info@41cannabisco.ca,no,ON,
4k Cannabis,4kcannabisinc@gmail.com,no,ON,
5 Buds,,no,SK,
FivePoint Cannabis,alena@fivepointcannabis.ca,no,AB,
6ix Cannabis,info@6ixcannabis.ca,no,ON,
99 North Cannabis Store,info@99northcannabis.com.,no,BC,
8th Cannabis,,no,ON,
affx,jfherring@outlook.com,no,ON,
Babettes Cannabis Dispensary,padillavspt@gmail.com,no,MB,
Baker and Blazer,tim@bakerandblazer.ca,no,ON,
BayBud Cannabis,mike@baybud.ca,no,ON,
Blue Sage Cannabis,info@bluesagecannabis.ca,no,ON,
Bluewater Cannabis,manager@bluewatercanna.ca,no,BC,
Bob's Bud Emporium,bobsbudemporium@gmail.com,no,ON,
Bridlewood Cannabis (JDA),john@prarieskycannabis.com,no,AB,
Broadway Cannabis,,no,ON,
Buddha Barn,jessika@buddhabarn.ca,no,BC,
Buddy's Place,go2buddysplace@gmail.com,no,BC,
Budd Hutt,,no,AB,
Buds 4 Less,jon@buds4lessdispensary.com,no,ON ,
Buds Smoke,brampton@budssmoke.com,no,ON,
Buds Smoke,ray@budssmoke.com,no,ON,
Buds Smoke,,no,ON,
Bullrider,stephenb@bullrider.com,no,ON,
Calyx and Trichomes,hello@calyxandtrichomes.com,no,ON,
Canadian Cannabis Connoisseurs,chris@4cdispensary.com,no,AB,
Canadian Greens,,no,AB,
Cannabis Boutique,parkerhomes@live.ca,no,AB,
Cannabis Cupboard,Adamdirani@hotmail.ca,no,ON,
Canapa Sky,canapa.sky@gmail.com,no,BC,
Cannabis Station,info@cannabisstn.com,no,ON,
Capturing Eden,wanitaliv@yahoo.ca,no,ON,
Chamba Cannabis Co.,erfan@chamba.ca,no,ON,
Chillin Buds,sabrina@chillinbuds.com,no,ON ,
Cheeky's Cannabis Merchants,customerservice@cheekyscannabis.ca,no,BC,
Chinook Cannabis,Casey@chinookcanna.ca,no,AB,
Chrontact,info@chrontact.ca,no,ON,
Circa 1818,brandon@circa1818.ca,no,ON,
Collective Growers,,no,ON,
Cloud Cannabis,cloud9victoria@gmail.com,no,BC,
Cosmic Charlies,sean@cosmiccharlies.ca,no,ON ,
Country Side Cannabis,,no,AB,
Costa Canna,info@costacanna.ca,no,BC,
Cottonmouth,info@cottonmouth.co,no,BC,
Cowbuds Cannabis,manager@cowbuds.com,no,AB,
Crown Leaf,thileepan@thecrownleaf.ca,no,ON,
Dab Cannabis,brampton@dabcannabisstore.com,no,ON,
Daily Stash Cannabis,dailystash@hotmail.com,no,BC,
Dawson Creek Cannabis Company,dawsoncreekcannabisco@gmail.com,no,BC,
Douglasdale Cannabis (JDA),danny@prairieskycannabis.com,no,AB,
Dynasty,james@dynastypotshop.com,no,ON,
Dragon's Peak Cannabis,dragonspeakcannabis@gmail.com,no,BC,
Edition X,rr@helloedition.com,no,ON,
Eden Empire,brittney@edenempire.com,no,BC ,
Electrical Banana,ted@electricalbanana.ca,no,ON,
Elevated Minds,Sabi@skelevatedminds.ca,no,ON,
Em Jays,paul@emjays.ca,no,ON,
Enlightened Herb Cannabis,enlightenedherb@gmail.com,no,AB,
Equilbrium,gethigh@eqcannabis.com,no,ON,
Evergreen,mike@ecsvan.ca,no,BC,
Farmhouse Cannabis,darrin@farmhouse-cannabis.com,no,ON,
Ghost Drops,,no,ON,
Giggles ,,no,ON,
Golden Tree Cannabis,terra@goldentreecannabis.com,no,ON,
Gram Nation,info@greennationnaturals.ca,no,ON,
Gram Station,,no,ON,
Green Bouquet,Heather@thegreenbouquetcannabis.com,no,ON,
Green Dreams,,no,SK,
Green Merchant,info@mygreenmerchant.com,no,ON,
Green Nation,Info@greennationnaturals.ca,no,AB,
Groove,michael@groovecannabis.com,no,ON,
Havok/Budtown,gerry@havok.ca / mike@havok.ca ,no,ON,
Hempire House,aclcannabisbusiness@gmail.com,no,ON,
Herbs Cannabis Shoppe,Kris@herbscannabisshoppe.com,no,AB,
Hibuzz Cannabis,info@hibuzz.ca,no,ON,
High5 Cannabis,admin@high5canada.com,no,BC,
Himalaya Cannabis ,himalayacannabis871@gmail.com,no,ON,
House of Buds,,no,ON,
Indicative Collection,travis@stigmagrow.ca,no,AB,
Jima Cannabis ,Fiona@jima.ca,no,BC,
Jupiter Cannabis,tom@jupiterwinnipeg.ca,no,MB,
K.J.'s Best Cannabis,kjshighpoint@gmail.com,no,BC,
Kaia Cannabis,,no,ON,
Khatsahlano Kannabis,ksidhu@trinitytreecannabis.com,no,BC,
Levicann,minaboghdady@levicann.com,no,ON,
Lolly Cannabis,nathan@lollycannabis.com,no,ON,
Marigolds Cannabis,pam@marigoldcannabis.com,no,BC,
Made In Cannabis,,no,AB,
Maryjane On Penny Lane,maryjaneonpennylane@gmail.com,no,AB,
Matchbox Cannabis,vlad@matchboxcannabis.com,no,ON,
Mind Flower,ron@mindflower.ca,no,ON,
Mirage Cannabis,info@mirageorganics.ca,no,ON,
Montrose,nick@montrosecannabis.ca,no,ON,
Mood Cannabis Co,cory.waldron@moodcannabisco.ca / info@moodcannabisco.ca,no,BC,
MotaToke,mr.dwightclarke@gmail.com,no,ON,
Muskoka Cannabis Store,jessica@muskokacannabisstore.ca,no,ON,
Northern Lights,sharon@northernlightssupply.ca,no,AB,
Northshore Cannabis,armanzhan@northshorecannabis.ca,no,BC,
Pakololo Cannabis,,no,ON,
Paradise AIR,paradiseair88@gmail.com,no,ON,
Parrot Pot Shop,stephen@parrotpotshop.com,no,MB,
Plateau Cannabis,,no,ON,
Plenty of Time,plentyoftime2019@gmail.com,no,BC,
POTorium ,hi@potorium.ca,no,BC,
Prairie Roots,michelle@prairieroots.com,no,MB,
Prime Cannabis,wkelowna@primecannabis.ca,no,BC,
Pur,shereef.s@cannabistshop.ca,no,ON,
Purple Moose,jacob@tripsetter.com,no,ON,
Purple Pinneapple Cannabis,anthonyzerafa@outlook.com,no,ON,
Quantum 1 Cannabis,ir@quantum1cannabis.com,no,BC,
Quartz Creek Cannabis,info@quartzcreekcannabis.com,no,BC,
Queensborough Cannabis Co.,queenscannabisco@gmail.com,no,BC,
Red Rock Cannabis ,sep@redrockco.ca,no,ON,
Reserved Cannabis,Reservedcannabis@gmail.com,no,ON,
Rocky Mountain Collective,trevor@rmcollective.ca / shivawn@rmcollective.ca,no,AB,
Rooted Zen Cannabis Co. ,derek@rootedzencannabis.com,no,ON,
Rural Leaf,info@ruralleaf.ca,no,BC,
Salmon Arm Cannabis Stores,,no,BC,
Satica,r.laskovski@mysatica.com,no,ON,
Scarlet Fire,david@scarletfirecannabis.ca,no,ON,
Seed & Stone,Sriram.kumar@seedandstone.com,no,BC,
Small Town Buds,Chris@smalltownbuds.net,no,AB,
Soul Rebel,danica@soulrebelcannabis.ca,no,ON,
Speakeasy Cannabis,reshawn416@gmail.com,no,ON,
Squamish Cannabis ,squamish@heartlandcannabis.ca,no,BC,
Starbuds,graeme@cordovacann.com,no,AB,
Starbuds,graeme@cordovacann.com,no,BC,
Starbuds,graeme@cordovacann.com,no,MB,
Starbuds,graeme@cordovacann.com,no,ON,
Sticky Nuggz,sam@stickynuggzinc.ca,no,ON,
Sunfish Cannabis,sunfishcannabis@gmail.com,no,ON,
Sunrise Cannabis,robin@mysunrise.ca,no,BC,
Sweet Seven Cannabis,cmenendez@sweetsevencannabis.ca,no,ON,
